relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Anatomy + Embryology MCQs.pdf	247568	545c5a3a4537d35c2e8228f261dfb48f87ea216c6cc89c016c603d0062a2d916	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	7		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Embryology written practice questions.pdf	37466	a52b8c4a67088411b314bcab37820383ad7a32b05b03f0d293e84421db34f195	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	3		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Embryology.pdf	189837	140d0fd692d7c58f752faf2b50169a3c006d42e1becc93641532b0f8e92cdef7	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	7		1785	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - FHB 1 MCQ FINAL.pdf	1373184	7978c265f52aa8190589c47a01ef536ca753583e4699a39d59f3f5267e8566b4	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	14		504	sparse-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - FHB FINAL.pdf	291743	28d4f5ec3791a9e54c086fa7c77614bd1f575b04ce655f3d8fd287b6980a1c97	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	13		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - FHB exam 101 2020_compressed-1.pdf	28802702	62143e16ae5d80b75313c51fbf850cbe6fe0223940abc2131ab130cb7cf337c8	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	37		2	empty-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Fhb exam 2026.pdf	768458	a87b09c5f33157263fb623fcfbc2eeb315f90633fdd1a5a8f9244a67c6313e95	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	14		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - General Embryology MCQs.pdf	801278	911f278560e8ee3b11a18fbc4116651e1c99b633be9b2b01e2f275b8b918c11d	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	34		1632	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - General embryology questions.pdf	182973	98361efdecd40f23a8e444b97fabf08cb8c5933c6d8f7bb10aa10c0e75d1551b	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	17		1643	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Important Ques Embryology 2 (Answers).pdf	1851184	c0f79eb94816582bfe81bd9fa724ba8b524a82a99ae6aba6bb3f4bf8a11a45ad	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	5		2	empty-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - Important Ques Embryology 2.pdf	1761237	f968cf5a23f4fb2dca711ffe0abedbe3d94f7289ce3e3dc774d967c3fd5861a7	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	5		2	empty-text
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - VIP Embryo MCQS ️▪️.pdf	958647	8d6091da0290ba43cd96017fafe09a5b7d14b2c362adcbca3d158d30cef768fd	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	8		24	audit-extract-failed
Year 1/Semester 101/FHB 101/Anatomy/05 MCQs/MCQs - [Unsolved]Embryology written questions.pdf	167528	c7f9044d4f8c67e9369999ae71692dd98b153cfa68038a3f0115ede546873fe9	Year 1	Semester 101	FHB 101	Anatomy	05 MCQs	2		1565	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/06 EOM Exams/EOM - Embryology Written final exam FHB 101 Fall 2025.pdf	79143	a569f3a6960887f8852b74db3a73a828f642b4857e68ccad9c81db8a3993fbec	Year 1	Semester 101	FHB 101	Anatomy	06 EOM Exams	2		1641	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/06 EOM Exams/EOM MCQs - FHB revision (Final Fall 2023-2024) - answered (2).pdf	225090	349ca7a6f8d6fb2622384456c8ecc03a3b8088c1cd09b8fd58d41af4eaa8b54f	Year 1	Semester 101	FHB 101	Anatomy	06 EOM Exams	10		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/06 EOM Exams/EOM MCQs - General Embryology 101 Final night exams questions.pdf	193343	3185bf1cbb970c279afdc5bc0a36f9aef98fc50198a30619e940198105b08d6a	Year 1	Semester 101	FHB 101	Anatomy	06 EOM Exams	11		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/06 EOM Exams/EOM MCQs - SOLO_MCQS_Final_Anatomy_Clean_Test_Version (2).pdf	51697	e52ac69820eff5407e033622c6163130ce2e52f1624eade5a46ee3e3fb266bcb	Year 1	Semester 101	FHB 101	Anatomy	06 EOM Exams	10		1479	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/06 EOM Exams/EOM MCQs - [Answers] SOLO MCQS - Final Anatomy.pdf	123184	5606f1829f2868ca94669174e185a385aebc3ba38c913b1921cfc769add2ed56	Year 1	Semester 101	FHB 101	Anatomy	06 EOM Exams	9		1479	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/Anatomy FHB101 Training Questions Part 2.pdf	3937584	7f3b6495509665efac02b6c16b6bc1b28de0eba800d2b4b0cb73d280bbe6a129	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	11		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/Anatomy FHB101 Training Questions.pdf	85305	032e8b2634ec8f4e8c9b694739f2d9f5a39115fa879437f18ed62e4b21dd0263	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	23		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/Basis MCQ by Dr.Jalal.pdf	629411	2c9ba7d2333e672e7ecca19f595c3e77c6df40c01d02f23f9acdbe947dc1ba3d	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	13		2	empty-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/Easy_Medicine_.pdf	3602891	833bde7eae7d5da6b9ba4032670ad61dee9b49bbb617b82e5910e2690b436607	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	41		0	audit-not-found
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/FHB101_Training_Questions.pdf	112265	814bbedd8906d5c163797afbf65ccc4bf49b9698a278a2e9fa78f8596fc26d24	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	3		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/G.Anatomy MCQ till Midterm by Absalam101.pdf	281984	80ca3b0d4df30607c1fb3ba5c99f09204d8fb8709752b8437d113c97d9cbdc28	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	52		1486	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/General anatomy (FHB 101).pdf	425410	248048db0f9ccc82dd0f3cf28a176ace8a4615fed998da046c6746fe23d388d5	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	31		0	audit-not-found
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/[MedStudy] General Anatomy ➡️ Midterm.pdf	5321494	1cecd06ab3f64fc1fc58229fc82bae297af9f2b65d73040d67c11e0d7c14c2c4	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	21		1800	substantive-text
Year 1/Semester 101/FHB 101/Anatomy/08 Midterm Exams/solo mcq anatomy fhb mid.pdf	512262	e6d0c5242f043d70b60c979dea0131e737be9e959db553a23adf38718f6246af	Year 1	Semester 101	FHB 101	Anatomy	08 Midterm Exams	8		1510	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Cases.pdf	558631	76b58bc56d2446cd2726f4fd96a038084d5bd8eb0081b30cbf64ad355de1ba31	Year 1	Semester 101	FHB 101	Histology	05 MCQs	8		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Department Questions.pdf	27225320	448345893d693ac8a08fd21a6ca326bc19cd1e4e36a1b26a03fb1d43c3f4b5e1	Year 1	Semester 101	FHB 101	Histology	05 MCQs	34		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Epithelium MCQ.pdf	378945	001c485cb1a8f9928c04a4390dbc920477f96285484f2dc4c7aeedd93dffa65b	Year 1	Semester 101	FHB 101	Histology	05 MCQs	4		1800	sparse-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Epithelium questions MCQ and Written.pdf	967737	81bd1052dfcf4d1985205bbf7ae7aaf419eba184f7a2204af600f58e605a1b7f	Year 1	Semester 101	FHB 101	Histology	05 MCQs	18		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Epithelium.pdf	232373	786c3d2e96fa2c5d3fb34b470bbcb20fadf6182e05d25c72ec43ceca35bcfdd0	Year 1	Semester 101	FHB 101	Histology	05 MCQs	9		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - FHB 101 Histology(Cytogenetics part)_BenAhmed_Publish.pdf	870569	220b2abe681b34636c9f888ec2bdf54ec743a0f1328abcc3ef8304de69945664	Year 1	Semester 101	FHB 101	Histology	05 MCQs	48		1501	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - FHB 101 Histology_BenAhmed.pdf	1280598	6ea8ad8bf30d8191cb7aa1d1a073efa5c5e8832a9182c96264db8fe8a1622af6	Year 1	Semester 101	FHB 101	Histology	05 MCQs	98		1525	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - FHB 101 Histology_BenAhmed_Puplish.pdf	1160718	1e2b05e259ae2eca175f3c97a985e7c3a1b37d489ecedaed74fcd810998730a3	Year 1	Semester 101	FHB 101	Histology	05 MCQs	98		1540	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - FHB FINAL.pdf	291743	28d4f5ec3791a9e54c086fa7c77614bd1f575b04ce655f3d8fd287b6980a1c97	Year 1	Semester 101	FHB 101	Histology	05 MCQs	13		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - FHB exam 101 2020_compressed-1.pdf	28802702	62143e16ae5d80b75313c51fbf850cbe6fe0223940abc2131ab130cb7cf337c8	Year 1	Semester 101	FHB 101	Histology	05 MCQs	37		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Fhb exam 2026.pdf	768458	a87b09c5f33157263fb623fcfbc2eeb315f90633fdd1a5a8f9244a67c6313e95	Year 1	Semester 101	FHB 101	Histology	05 MCQs	14		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Histo FHB Ques.pdf	618837	025b988c1ce7f90beaf3f86ad4c8fde63cf27c4ce10616832e877c66cc222825	Year 1	Semester 101	FHB 101	Histology	05 MCQs	37		1340	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Histo FHB101 Exam Night Questions & Notes.pdf	772615	2f57b61e7071d6e87a5ae7a0464cbae2ab7d2cef7f12941420473966fd89aa58	Year 1	Semester 101	FHB 101	Histology	05 MCQs	16		2	audit-extract-failed
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Histology MCQs by DR.KANDEEL.pdf	2866293	72f19c349bd5817ad84d61737cbc63cf844da772ecc71f1db3943853ade961cd	Year 1	Semester 101	FHB 101	Histology	05 MCQs	9		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Histology fhb101-1 mcq important.pdf	13449617	8a64d8e0f81611aeeb3797c0c3d332c749c28505893e974d35e4e1d6712dcb6b	Year 1	Semester 101	FHB 101	Histology	05 MCQs	16		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Histology_FHB_Clinical_Applications_Mohamed_Eissa_MMSU (1).pdf	3427798	d6c7f6be8d5066df575221ff5f3c7903d2c5204b2fddd81481fbd383a1d14100	Year 1	Semester 101	FHB 101	Histology	05 MCQs	9		1286	substantive-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Important Ques Histo.pdf	9276372	b8ac8fb8398288c987687c364a49cd465bc7f94c777d02a34e444c1e86c68d4c	Year 1	Semester 101	FHB 101	Histology	05 MCQs	19		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - MCQ Epithelium.pdf	3002759	6789f9c206abb44eb1cbbac5ffea20c0b0a052732c9569bca7a54ca407840618	Year 1	Semester 101	FHB 101	Histology	05 MCQs	46		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - New MCQ for histology .pdf	29743790	71d44657e0d87a79998716f4d34dd2e8a2a29225b2bfb6ac2c124c46dc7cc1c3	Year 1	Semester 101	FHB 101	Histology	05 MCQs	24		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - QUESTION ON EPITHELIUM by DR.KANDEEL.pdf	6094451	994b3e415b43d5b276a810e5a74b177f5774d6d99b775a0e094b0914c76b2fbb	Year 1	Semester 101	FHB 101	Histology	05 MCQs	17		2	empty-text
Year 1/Semester 101/FHB 101/Histology/05 MCQs/MCQs - Training questions for QUIZ.pdf	231660	6cf74ccb49a440815850ef9f458f80f31200f7b70fa8361f473af2ba3baaed89	Year 1	Semester 101	FHB 101	Histology	05 MCQs	4		1800	substantive-text
Year 1/Semester 101/FHB 101/Histology/06 EOM Exams/EOM - FHB final revision 2025.pdf	4306279	7eae568758b50729de376c829bf30c964bddc048bb74dc49210ad40d2ed019db	Year 1	Semester 101	FHB 101	Histology	06 EOM Exams	56		189	sparse-text
