relative_path	bytes	sha256	year	semester	module	subject	category	pdf_pages	pdf_error	audit_sample_chars	audit_sample_status
Year 1/Semester 102/FHB 102-2/00 Module-wide/05 MCQs/MCQs - FHB102-2.pdf	103757	b9989e9ef3c314f6c771c32a4ad2f096c02648a3b1f98281117ce7c4f5208063	Year 1	Semester 102	FHB 102-2	00 Module-wide	05 MCQs	6		1800	substantive-text
Year 1/Semester 102/FHB 102-2/00 Module-wide/06 EOM Exams/EOM MCQs - 1)FHB 102-2 Online Final Exam - PentaGram.pdf	3577476	dd800ea485e532ad4b5fedc7070c3e410b1d3bf13b7589c2fd79b38287704470	Year 1	Semester 102	FHB 102-2	00 Module-wide	06 EOM Exams	33		2	empty-text
Year 1/Semester 102/FHB 102-2/00 Module-wide/08 Midterm Exams/FHB102-2 MCQs till Midterm by Absalam101 (Part 1).pdf	211724	4bd3b78f762673d7eb7f1c0fc76651d76fd335105a287451e47c51d2bd0be5cf	Year 1	Semester 102	FHB 102-2	00 Module-wide	08 Midterm Exams	45		1802	substantive-text
Year 1/Semester 102/FHB 102-2/00 Module-wide/08 Midterm Exams/FHB102-2 MCQs till Midterm by Absalam101 (Part 2).pdf	229554	8bd3b772b3b32db5972665614475a6193f5ffa871e686a2026b0a7aeeadf375c	Year 1	Semester 102	FHB 102-2	00 Module-wide	08 Midterm Exams	56		1482	substantive-text
Year 1/Semester 102/FHB 102-2/00 Module-wide/08 Midterm Exams/FHB102-2 MCQs till mid_MUCIZE DOCTORS PUPLISH.pdf	774862	352f47c6e866e76a9d8b2aa4772a0f7d7a731170aa23214ac95ba51021c7213f	Year 1	Semester 102	FHB 102-2	00 Module-wide	08 Midterm Exams	47		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - AE - MCQ.pdf	8049562	ae85035d9ea693b962b7d4a1999b7e61bed472cf0127eb04e3dcf2bd90892f37	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	29		46	sparse-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - FHB 102-2 Microbiology Infection tutorial-4.pdf	402158	d563da91fcfe9ac872abf66c7f91729535a895bcc329978a67321fcf4aec3f43	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	20		510	sparse-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - FHB MICRO CH10 PRACTICE.pdf	52185	1c477cdee3ad720f5e94adfd2eafd9908bbcd61f9622f7b60ec93c9cb7f3d229	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	3		1800	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - FHB-2 micro mcq.pdf	35213	9cf944929a7cffa384d05bc660ce1fc449e47ab2c1920f09d4bf861d942092bc	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	1		803	substantive-text
Year 1/Semester 102/FHB 102-2/Microbiology/05 MCQs/MCQs - Formative Micro.pdf	1481877	d81b956eb2c8a26aada7ab5105d66d5a6c62a1047bfdf2a3c517b9966a3f00fc	Year 1	Semester 102	FHB 102-2	Microbiology	05 MCQs	4		2	empty-text
