program,version_label,academic_year,level,semester,module_code,module_title,row_type,subject_or_department,credits,weeks,marks,total_hours,source_id,source_url,access_date,confidence,notes
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","MED 101","Foundation 1","module","","12","8","180","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","MED 102","Fountdaion2","module","","10.5","7","157.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high","Source spelling retained"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","MED 103","vertical integration 1","module","","1.5","longitudinal","22.5","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","E 101","Faculty elective 1","module","","2","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","UNI 101","Introduction to quality and accreditation in higher education institutions","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","medium","Arabic title translated; source text retained in student guide"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 1","","Semester total","semester_total","","27","16","360","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","MED 104","Musculoskeletal","module","","12","8","180","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","MED 105","Cardiovascular system","module","","12","8","180","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","MED 106","Medical Professionalism and communication skills","module","","2","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","UNI 102","Community issues","module","","1","longitudinal","20","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","medium","Arabic title translated"
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","MED 107","vertical integration 2","module","","1","longitudinal","15","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","E 102","Faculty elective 2","module","","2","longitudinal","30","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 1","Semester 2","","Semester total","semester_total","","30","16","405","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","MED 201","Respiratory system","module","","12","8","180","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","MED 202","Blood&Lymph","module","","12","8","180","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
"Basic 5-year M.B.B.Ch credit-hour program","Student Guide 2025-2026; regulation effective for entrants from 2023/2024","2025-2026","Year 2","Semester 3","MED 203","Psychology","module","","3","longitudinal","45","","S1","https://mu.menofia.edu.eg/med/View/111192/ar","2026-08-26","high",""
