level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1200	1800	-1	
2	1	1	0	0	0	509	116	126	29	-1	
3	1	1	1	0	0	509	116	126	29	-1	
4	1	1	1	1	0	509	116	126	29	-1	
5	1	1	1	1	1	509	116	28	15	55.960243	ne
5	1	1	1	1	2	547	117	67	28	96.075516	palsy,
5	1	1	1	1	3	624	130	11	15	72.735031	a
2	1	2	0	0	0	674	132	21	19	-1	
3	1	2	1	0	0	674	132	21	19	-1	
4	1	2	1	1	0	674	132	21	19	-1	
5	1	2	1	1	1	674	132	21	19	43.940617	rv!
2	1	3	0	0	0	696	112	104	33	-1	
3	1	3	1	0	0	696	112	104	33	-1	
4	1	3	1	1	0	696	112	104	33	-1	
5	1	3	1	1	1	696	130	13	15	59.078442	e
5	1	3	1	1	2	717	112	83	29	81.894424	arising
2	1	4	0	0	0	148	146	507	37	-1	
3	1	4	1	0	0	148	146	507	37	-1	
4	1	4	1	1	0	148	146	507	37	-1	
5	1	4	1	1	1	148	146	39	21	97.007095	the
5	1	4	1	1	2	196	149	99	29	92.259834	brachial
5	1	4	1	1	3	305	157	78	26	92.259834	plexus
5	1	4	1	1	4	392	153	19	19	96.716499	is
5	1	4	1	1	5	420	147	176	27	92.473526	nonfunctional,
5	1	4	1	1	6	605	156	50	27	14.074488	Thi,
2	1	5	0	0	0	692	153	49	29	-1	
3	1	5	1	0	0	692	153	49	29	-1	
4	1	5	1	1	0	692	153	49	29	-1	
5	1	5	1	1	1	692	153	49	29	84.783089	rve
5	1	5	1	1	2	731	149	15	43	40.335732	i
2	1	6	0	0	0	743	146	59	25	-1	
3	1	6	1	0	0	743	146	59	25	-1	
4	1	6	1	1	0	743	146	59	25	-1	
5	1	6	1	1	1	743	155	13	16	69.810684	is
5	1	6	1	1	2	764	146	38	21	96.733002	the
2	1	7	0	0	0	887	148	214	46	-1	
3	1	7	1	0	0	887	148	214	46	-1	
4	1	7	1	1	0	887	148	214	46	-1	
5	1	7	1	1	1	887	149	51	41	58.530354	Ae
5	1	7	1	1	2	938	148	72	32	15.315876	Jateral
5	1	7	1	1	3	1018	149	83	45	54.546947	Pectoral
2	1	8	0	0	0	98	176	215	42	-1	
3	1	8	1	0	0	98	176	215	42	-1	
4	1	8	1	1	0	98	176	215	42	-1	
5	1	8	1	1	1	98	176	42	31	73.439690	a
5	1	8	1	1	2	148	181	165	37	86.522552	suprascapular
2	1	9	0	0	0	367	179	222	41	-1	
3	1	9	1	0	0	367	179	222	41	-1	
4	1	9	1	1	0	367	179	222	41	-1	
5	1	9	1	1	1	367	179	48	41	9.872847	eg
5	1	9	1	1	2	413	183	69	22	96.356514	dorsal
5	1	9	1	1	3	491	186	98	21	96.390625	scapular
2	1	10	0	0	0	777	178	54	23	-1	
3	1	10	1	0	0	777	178	54	23	-1	
4	1	10	1	1	0	777	178	54	23	-1	
5	1	10	1	1	1	777	178	54	23	85.016182	racic
2	1	11	0	0	0	640	186	120	41	-1	
3	1	11	1	0	0	640	186	120	41	-1	
4	1	11	1	1	0	640	186	120	41	-1	
5	1	11	1	1	1	640	207	38	20	59.276878	_e,
5	1	11	1	1	2	687	195	45	24	0.782280	ond
5	1	11	1	1	3	740	186	20	21	96.696533	th
2	1	12	0	0	0	110	235	736	43	-1	
3	1	12	1	0	0	110	235	736	43	-1	
4	1	12	1	1	0	110	235	736	43	-1	
5	1	12	1	1	1	110	238	34	20	96.668617	70.
5	1	12	1	1	2	165	240	78	24	95.811554	Which
5	1	12	1	1	3	253	250	88	20	95.811554	muscle
5	1	12	1	1	4	350	250	19	19	96.583672	is
5	1	12	1	1	5	376	246	37	21	96.867920	the
5	1	12	1	1	6	422	243	117	23	93.477219	strongest
5	1	12	1	1	7	548	247	79	23	58.814056	medial
5	1	12	1	1	8	636	256	79	22	16.995268	-otator
5	1	12	1	1	9	723	245	24	23	93.654465	of
5	1	12	1	1	10	753	242	39	22	93.654465	the
5	1	12	1	1	11	800	235	46	21	96.563179	arm
2	1	13	0	0	0	96	276	182	36	-1	
3	1	13	1	0	0	96	276	182	36	-1	
4	1	13	1	1	0	96	276	182	36	-1	
5	1	13	1	1	1	96	279	40	33	0.000000	-
5	1	13	1	1	2	145	276	58	21	96.142540	teres
5	1	13	1	1	3	213	281	65	22	96.926735	minor
2	1	14	0	0	0	849	228	239	65	-1	
3	1	14	1	0	0	849	228	239	65	-1	
4	1	14	1	1	0	849	228	239	65	-1	
5	1	14	1	1	1	849	228	14	21	71.560722	2
