level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1644	2325	-1	
2	1	1	0	0	0	134	97	186	29	-1	
3	1	1	1	0	0	134	97	186	29	-1	
4	1	1	1	1	0	134	97	186	29	-1	
5	1	1	1	1	1	134	97	46	28	95.249565	41.
5	1	1	1	1	2	194	97	80	29	96.411865	Cells
5	1	1	1	1	3	286	97	34	28	96.230591	of
2	1	2	0	0	0	329	118	187	7	-1	
3	1	2	1	0	0	329	118	187	7	-1	
4	1	2	1	1	0	329	118	187	7	-1	
5	1	2	1	1	1	329	118	187	7	0.000000	woccccccecoesce
2	1	3	0	0	0	530	98	283	28	-1	
3	1	3	1	0	0	530	98	283	28	-1	
4	1	3	1	1	0	530	98	283	28	-1	
5	1	3	1	1	1	530	98	76	27	96.882202	have
5	1	3	1	1	2	618	106	39	19	96.784477	no
5	1	3	1	1	3	668	99	54	27	95.568062	cell
5	1	3	1	1	4	733	99	80	27	96.134377	wall:
2	1	4	0	0	0	184	149	262	27	-1	
3	1	4	1	0	0	184	149	262	27	-1	
4	1	4	1	1	0	184	149	262	27	-1	
5	1	4	1	1	1	184	157	26	19	93.235878	a.
5	1	4	1	1	2	233	149	213	27	92.333458	Amnioblasts.
2	1	5	0	0	0	993	150	219	35	-1	
3	1	5	1	0	0	993	150	219	35	-1	
4	1	5	1	1	0	993	150	219	35	-1	
5	1	5	1	1	1	993	150	28	27	92.767685	b.
5	1	5	1	1	2	1033	150	179	35	90.392883	Hypoblast.
2	1	6	0	0	0	183	200	324	37	-1	
3	1	6	1	0	0	183	200	324	37	-1	
4	1	6	1	1	0	183	200	324	37	-1	
5	1	6	1	1	1	183	210	25	18	80.184349	c.
5	1	6	1	1	2	230	200	277	37	91.812233	Cytotrophoblast.
2	1	7	0	0	0	994	201	383	36	-1	
3	1	7	1	0	0	994	201	383	36	-1	
4	1	7	1	1	0	994	201	383	36	-1	
5	1	7	1	1	1	994	202	30	27	92.145233	d.
5	1	7	1	1	2	1036	201	341	36	91.791504	Syncytiotrophoblast.
2	1	8	0	0	0	132	297	947	36	-1	
3	1	8	1	0	0	132	297	947	36	-1	
4	1	8	1	1	0	132	297	947	36	-1	
5	1	8	1	1	1	132	297	224	36	91.220963	42.Regarding
5	1	8	1	1	2	367	297	223	32	96.253769	implantation,
5	1	8	1	1	3	599	298	110	28	96.550919	choose
5	1	8	1	1	4	719	298	51	27	96.550919	the
5	1	8	1	1	5	781	300	116	26	96.622704	correct
5	1	8	1	1	6	908	300	171	26	96.510269	statement:
2	1	9	0	0	0	183	345	1017	41	-1	
3	1	9	1	0	0	183	345	1017	41	-1	
4	1	9	1	1	0	183	345	1017	41	-1	
5	1	9	1	1	1	183	358	27	19	93.265343	a.
5	1	9	1	1	2	232	350	168	35	92.969734	Blastocyst
5	1	9	1	1	3	409	352	91	26	97.002747	starts
5	1	9	1	1	4	512	350	212	36	96.267998	implantation
5	1	9	1	1	5	736	352	32	26	96.267998	at
5	1	9	1	1	6	778	350	50	28	96.811111	the
5	1	9	1	1	7	839	350	162	36	97.016624	beginning
5	1	9	1	1	8	1012	350	35	28	96.956467	of
5	1	9	1	1	9	1054	345	42	33	61.437351	3"!
5	1	9	1	1	10	1106	351	94	27	95.865479	week.
2	1	10	0	0	0	184	402	914	36	-1	
3	1	10	1	0	0	184	402	914	36	-1	
4	1	10	1	1	0	184	402	914	36	-1	
5	1	10	1	1	1	184	402	28	28	88.226135	b.
5	1	10	1	1	2	233	402	167	35	92.075447	Blastocyst
5	1	10	1	1	3	409	405	92	25	96.075638	starts
5	1	10	1	1	4	512	402	211	36	96.616318	implantation
5	1	10	1	1	5	736	403	40	35	96.947533	by
5	1	10	1	1	6	787	402	36	28	96.662384	its
5	1	10	1	1	7	834	402	176	36	96.438461	embryonic
5	1	10	1	1	8	1021	403	77	35	96.323624	pole.
2	1	11	0	0	0	182	453	886	36	-1	
3	1	11	1	0	0	182	453	886	36	-1	
4	1	11	1	1	0	182	453	886	36	-1	
5	1	11	1	1	1	182	462	25	19	91.671471	c.
5	1	11	1	1	2	232	454	125	27	96.076477	Normal
5	1	11	1	1	3	369	453	54	28	96.820129	site
5	1	11	1	1	4	435	454	23	27	96.770332	is
5	1	11	1	1	5	470	454	29	27	96.285744	in
5	1	11	1	1	6	511	454	51	27	96.504539	the
