level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1644	2331	-1	
2	1	1	0	0	0	287	2	1356	2	-1	
3	1	1	1	0	0	287	2	1356	2	-1	
4	1	1	1	1	0	287	2	1356	2	-1	
5	1	1	1	1	1	287	2	1356	2	95.000000	 
2	1	2	0	0	0	144	184	1373	203	-1	
3	1	2	1	0	0	144	184	1373	203	-1	
4	1	2	1	1	0	144	184	1373	35	-1	
5	1	2	1	1	1	144	184	49	26	92.946487	58-
5	1	2	1	1	2	205	184	110	34	95.784973	During
5	1	2	1	1	3	329	184	122	26	96.884819	second
5	1	2	1	1	4	465	184	87	27	96.414108	week
5	1	2	1	1	5	563	184	34	27	95.969261	of
5	1	2	1	1	6	608	190	188	29	95.969261	pregnancy,
5	1	2	1	1	7	810	191	61	20	96.884674	one
5	1	2	1	1	8	884	185	34	26	96.446205	of
5	1	2	1	1	9	928	184	52	27	96.560303	the
5	1	2	1	1	10	992	184	155	35	96.124619	following
5	1	2	1	1	11	1161	186	185	26	96.387466	statements
5	1	2	1	1	12	1361	185	26	26	96.743004	is
5	1	2	1	1	13	1402	191	115	28	96.348915	wrong:
4	1	2	1	2	0	203	226	711	34	-1	
5	1	2	1	2	1	203	232	27	20	96.940010	a.
5	1	2	1	2	2	251	226	60	26	96.560867	The
5	1	2	1	2	3	324	226	157	34	96.564880	blastocyst
5	1	2	1	2	4	494	226	161	34	96.704720	completes
5	1	2	1	2	5	669	226	33	27	96.090134	its
5	1	2	1	2	6	716	226	198	34	96.576927	implantation.
4	1	2	1	3	0	205	268	724	35	-1	
5	1	2	1	3	1	205	268	26	26	89.885605	b.
5	1	2	1	3	2	251	268	60	26	96.428734	The
5	1	2	1	3	3	322	268	177	33	95.467461	trophoblast
5	1	2	1	3	4	511	268	204	27	96.774353	differentiates
5	1	2	1	3	5	729	269	54	26	96.989990	into
5	1	2	1	3	6	796	269	17	26	96.992912	2
5	1	2	1	3	7	827	269	102	34	96.877304	layers.
4	1	2	1	4	0	204	310	785	29	-1	
5	1	2	1	4	1	204	316	26	21	90.407722	c.
5	1	2	1	4	2	251	310	60	27	95.971436	The
5	1	2	1	4	3	325	310	78	27	95.721031	inner
5	1	2	1	4	4	414	310	51	27	96.543556	cell
5	1	2	1	4	5	478	316	83	22	96.726463	mass
5	1	2	1	4	6	575	310	142	28	96.601662	becomes
5	1	2	1	4	7	720	306	16	44	93.088280	a
5	1	2	1	4	8	759	311	149	28	92.528427	trilaminar
5	1	2	1	4	9	919	311	70	28	96.252960	disc.
4	1	2	1	5	0	204	353	521	34	-1	
5	1	2	1	5	1	204	353	28	26	92.315300	d.
5	1	2	1	5	2	252	353	59	26	95.818817	The
5	1	2	1	5	3	324	353	132	27	96.026833	amniotic
5	1	2	1	5	4	468	353	90	34	96.976898	cavity
5	1	2	1	5	5	571	353	22	27	96.411514	is
5	1	2	1	5	6	605	353	120	27	96.209297	formed.
