level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	86	267	1424	1832	-1	
3	1	1	1	0	0	86	267	1424	1832	-1	
4	1	1	1	1	0	1157	272	158	35	-1	
5	1	1	1	1	1	1157	285	35	22	95.563133	us
5	1	1	1	1	2	1204	272	111	33	92.053871	organe
4	1	1	1	2	0	144	267	1190	88	-1	
5	1	1	1	2	1	144	267	44	26	89.741776	11-
5	1	1	1	2	2	211	272	171	31	92.212250	Lysosomes
5	1	1	1	2	3	393	277	55	19	96.997589	are:
5	1	1	1	2	4	570	311	3	4	27.459911	;
5	1	1	1	2	5	686	307	42	23	37.048035	ais
5	1	1	1	2	6	879	295	25	24	91.949280	b.
5	1	1	1	2	7	915	284	113	71	13.726101	pone
5	1	1	1	2	8	1045	284	108	71	0.000000	Nielbale
5	1	1	1	2	9	1193	315	51	36	24.874840	1
5	1	1	1	2	10	1255	286	79	54	92.557442	cells.
4	1	1	1	3	0	211	309	939	49	-1	
5	1	1	1	3	1	211	315	24	19	96.252930	a.
5	1	1	1	3	2	247	311	106	24	95.934967	Formed
5	1	1	1	3	3	365	311	31	30	93.251869	by
5	1	1	1	3	4	407	309	53	25	86.500832	rER
5	1	1	1	3	5	471	311	19	24	93.203506	&
5	1	1	1	3	6	502	311	72	30	96.967369	Golgi
5	1	1	1	3	7	585	312	150	28	96.742378	apparatus.
5	1	1	1	3	8	875	333	26	25	92.215935	d.
5	1	1	1	3	9	913	332	51	25	96.974281	Are
5	1	1	1	3	10	975	331	53	25	96.377487	few
5	1	1	1	3	11	1039	333	24	19	93.270432	in
5	1	1	1	3	12	1076	325	74	33	93.203346	phag
4	1	1	1	4	0	212	348	359	31	-1	
5	1	1	1	4	1	212	353	24	18	92.055168	c.
5	1	1	1	4	2	248	348	196	24	96.234100	Demonstrated
5	1	1	1	4	3	457	348	31	31	96.678017	by
5	1	1	1	4	4	500	348	71	25	96.673973	H&E.
4	1	1	1	5	0	703	406	604	42	-1	
5	1	1	1	5	1	703	408	5	4	93.084579	inly
5	1	1	1	5	2	768	406	168	22	96.331795	numerous:
5	1	1	1	5	3	1239	420	68	28	91.283638	b&c.
4	1	1	1	6	0	150	406	1075	57	-1	
5	1	1	1	6	1	150	409	44	24	93.099007	12-
5	1	1	1	6	2	216	411	205	25	96.802811	Detoxification
5	1	1	1	6	3	433	413	30	23	96.864670	of
5	1	1	1	6	4	472	413	68	30	96.449944	drug
5	1	1	1	6	5	553	411	90	25	96.540512	needs
5	1	1	1	6	6	655	406	101	30	96.336426	mainly
5	1	1	1	6	7	848	445	24	18	0.000000	c.
5	1	1	1	6	8	885	437	63	26	68.738770	TER.
5	1	1	1	6	9	1115	429	27	25	92.495262	d.
5	1	1	1	6	10	1157	424	68	30	96.551392	Both
4	1	1	1	7	0	216	447	463	26	-1	
5	1	1	1	7	1	216	453	23	18	96.057831	a.
5	1	1	1	7	2	252	447	65	24	88.360825	SER.
5	1	1	1	7	3	489	449	24	24	91.731949	b.
5	1	1	1	7	4	525	449	154	24	89.985847	ribosomes.
4	1	1	1	8	0	153	507	1283	79	-1	
5	1	1	1	8	1	153	507	43	23	87.354576	13-
5	1	1	1	8	2	218	508	189	24	92.448189	Euchromatin
5	1	1	1	8	3	420	508	32	24	96.514992	is:
5	1	1	1	8	4	899	540	42	25	71.001907	eply
5	1	1	1	8	5	970	535	168	33	95.864143	acidophilic.
5	1	1	1	8	6	1432	582	4	4	0.194263	j
4	1	1	1	9	0	218	537	1210	71	-1	
5	1	1	1	9	1	218	550	23	17	95.913605	a.
5	1	1	1	9	2	254	544	104	23	96.715424	Inactive
5	1	1	1	9	3	370	544	146	25	95.929222	chromatin.
5	1	1	1	9	4	765	579	18	24	41.121132	p
5	1	1	1	9	5	782	537	54	71	21.419128	ra
5	1	1	1	9	6	864	542	72	62	12.523422	wad
5	1	1	1	9	7	999	574	86	27	96.055557	nuclei
5	1	1	1	9	8	1098	573	28	25	96.957939	of
5	1	1	1	9	9	1136	571	78	26	96.593842	small
5	1	1	1	9	10	1228	563	200	38	95.840591	lymphocytes
4	1	1	1	10	0	218	579	533	31	-1	
5	1	1	1	10	1	218	585	23	17	90.019165	c.
5	1	1	1	10	2	254	579	112	23	95.320122	Electron
5	1	1	1	10	3	377	579	84	24	95.320122	lucent
5	1	1	1	10	4	472	581	32	29	96.308823	by
5	1	1	1	10	5	516	582	53	24	96.738960	EM.
5	1	1	1	10	6	725	580	26	25	92.444611	d.
4	1	1	1	11	0	86	610	1218	97	-1	
5	1	1	1	11	1	86	610	2	64	82.791489	|
5	1	1	1	11	2	155	638	43	23	92.013771	14-
5	1	1	1	11	3	228	639	92	23	3.177395	Best's
5	1	1	1	11	4	331	638	125	25	96.537292	Carmine
5	1	1	1	11	5	469	641	23	24	96.907043	is
5	1	1	1	11	6	503	645	73	23	96.358315	used
5	1	1	1	11	7	587	646	29	23	96.358315	to
5	1	1	1	11	8	627	643	205	26	88.993240	demonstrate:
5	1	1	1	11	9	909	679	46	24	18.591833	fs
5	1	1	1	11	10	1109	676	27	24	92.803085	d.
5	1	1	1	11	11	1150	675	154	32	96.875214	Glycogen.
4	1	1	1	12	0	86	673	876	37	-1	
5	1	1	1	12	1	86	683	1	13	95.709488	|
5	1	1	1	12	2	218	678	23	18	96.831398	a.
5	1	1	1	12	3	254	673	187	25	93.795174	Mitochondria.
5	1	1	1	12	4	527	678	24	24	91.587112	b.
5	1	1	1	12	5	563	680	73	30	96.255753	Golgi
5	1	1	1	12	6	647	680	128	30	96.126793	complex.
5	1	1	1	12	7	871	685	23	19	91.587112	c.
5	1	1	1	12	8	928	685	34	18	93.527657	Fat.
4	1	1	1	13	0	155	732	735	53	-1	
5	1	1	1	13	1	155	732	43	23	91.372513	15-
5	1	1	1	13	2	219	733	212	27	91.372513	Multivesicular
5	1	1	1	13	3	441	737	110	27	96.363289	bodies:
5	1	1	1	13	4	885	780	5	5	65.854919	:
4	1	1	1	14	0	218	768	1099	74	-1	
5	1	1	1	14	1	218	773	23	18	96.916084	a.
5	1	1	1	14	2	252	768	48	24	96.803490	Are
5	1	1	1	14	3	311	770	98	26	96.508583	formed
5	1	1	1	14	4	421	773	32	30	96.985542	by
5	1	1	1	14	5	462	775	85	26	96.855995	fusion
5	1	1	1	14	6	559	778	27	24	96.720543	of
5	1	1	1	14	7	595	780	107	31	96.611465	primary
5	1	1	1	14	8	714	780	136	30	95.576675	lysosome
5	1	1	1	14	9	859	780	58	26	95.576675	with
5	1	1	1	14	10	930	781	41	24	96.478867	old
5	1	1	1	14	11	984	780	163	32	94.874825	organelles.
5	1	1	1	14	12	1268	817	49	25	31.362028	=
4	1	1	1	15	0	476	812	778	38	-1	
5	1	1	1	15	1	476	812	3	4	0.000000	,
5	1	1	1	15	2	855	824	16	18	88.720764	c.
5	1	1	1	15	3	890	818	109	32	96.209763	Appear
5	1	1	1	15	4	1010	819	196	30	96.308701	homogenous
5	1	1	1	15	5	1219	818	35	31	96.494965	by
4	1	1	1	16	0	219	804	960	81	-1	
5	1	1	1	16	1	219	804	24	23	92.248489	b.
5	1	1	1	16	2	254	804	49	24	96.667786	Are
5	1	1	1	16	3	314	811	16	18	94.450645	a
5	1	1	1	16	4	340	807	59	30	94.450645	type
5	1	1	1	16	5	411	810	27	23	96.967384	of
5	1	1	1	16	6	447	816	106	28	92.166359	Primary
5	1	1	1	16	7	564	815	159	30	95.875107	lysosomes.
5	1	1	1	16	8	873	825	82	36	4.731636	apps
5	1	1	1	16	9	1040	857	4	3	9.376125	?
5	1	1	1	16	10	1128	830	51	55	15.361681	ees
4	1	1	1	17	0	219	840	966	47	-1	
5	1	1	1	17	1	219	840	24	23	88.659142	d.
5	1	1	1	17	2	254	840	49	24	96.684952	Are
5	1	1	1	17	3	314	841	98	28	96.943199	formed
5	1	1	1	17	4	424	846	33	31	96.901131	by
5	1	1	1	17	5	465	848	85	27	97.009712	fusion
5	1	1	1	17	6	562	852	27	24	97.009712	of
5	1	1	1	17	7	599	854	106	30	93.271416	primary
5	1	1	1	17	8	716	855	204	29	3.038244	lysosome'with
5	1	1	1	17	9	933	858	131	29	87.376488	pinocytic
5	1	1	1	17	10	1073	862	112	19	96.225136	vesicle.
4	1	1	1	18	0	156	900	1065	84	-1	
