level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	233	349	308	50	-1	
3	1	1	1	0	0	233	349	308	50	-1	
4	1	1	1	1	0	233	349	308	50	-1	
5	1	1	1	1	1	233	349	41	27	90.155632	73-
5	1	1	1	1	2	283	354	50	28	96.677071	The
5	1	1	1	1	3	344	359	105	31	96.677071	brachial
5	1	1	1	1	4	459	367	82	32	95.425705	artery,
2	1	2	0	0	0	551	374	293	40	-1	
3	1	2	1	0	0	551	374	293	40	-1	
4	1	2	1	1	0	551	374	293	40	-1	
5	1	2	1	1	1	551	374	77	28	96.063187	Select
5	1	2	1	1	2	637	382	39	26	96.063187	the
5	1	2	1	1	3	685	387	51	23	96.532372	true
5	1	2	1	1	4	745	392	99	22	94.145096	answer:
2	1	3	0	0	0	276	395	271	37	-1	
3	1	3	1	0	0	276	395	271	37	-1	
4	1	3	1	1	0	276	395	271	37	-1	
5	1	3	1	1	1	276	397	21	20	91.650620	a.
5	1	3	1	1	2	316	395	21	25	92.153252	In
5	1	3	1	1	3	347	398	38	25	96.436996	the
5	1	3	1	1	4	395	402	78	25	96.764442	cubital
5	1	3	1	1	5	481	403	66	29	69.632294	fossa
2	1	4	0	0	0	550	429	4	8	-1	
3	1	4	1	0	0	550	429	4	8	-1	
4	1	4	1	1	0	550	429	4	8	-1	
5	1	4	1	1	1	550	429	4	8	12.348337	,
2	1	5	0	0	0	565	410	407	43	-1	
3	1	5	1	0	0	565	410	407	43	-1	
4	1	5	1	1	0	565	410	407	43	-1	
5	1	5	1	1	1	565	410	60	28	87.584869	itlies
5	1	5	1	1	2	635	421	78	25	92.552025	medial
5	1	5	1	1	3	722	424	21	22	96.172318	to
5	1	5	1	1	4	753	423	36	24	93.632545	the
5	1	5	1	1	5	798	425	76	28	96.738762	biceps
5	1	5	1	1	6	883	420	89	25	96.658829	tendon.
2	1	6	0	0	0	278	430	274	45	-1	
3	1	6	1	0	0	278	430	274	45	-1	
4	1	6	1	1	0	278	430	274	45	-1	
5	1	6	1	1	1	278	430	23	25	90.686363	b.
5	1	6	1	1	2	318	433	123	30	92.881088	Bifurcates
5	1	6	1	1	3	450	437	102	38	45.106388	Opposite
2	1	7	0	0	0	562	447	297	47	-1	
3	1	7	1	0	0	562	447	297	47	-1	
4	1	7	1	1	0	562	447	297	47	-1	
5	1	7	1	1	1	562	447	36	26	96.727676	the
5	1	7	1	1	2	608	454	56	25	96.727676	neck
5	1	7	1	1	3	674	458	22	23	96.999130	of
5	1	7	1	1	4	703	459	37	23	96.999130	the
5	1	7	1	1	5	749	455	110	39	96.249977	humerus.
2	1	8	0	0	0	281	471	270	36	-1	
3	1	8	1	0	0	281	471	270	36	-1	
4	1	8	1	1	0	281	471	270	36	-1	
5	1	8	1	1	1	281	475	21	19	47.090919	C.
5	1	8	1	1	2	320	471	21	25	78.414482	Is
5	1	8	1	1	3	350	473	60	33	96.443161	deep
5	1	8	1	1	4	419	476	132	31	96.840958	throughout
2	1	9	0	0	0	559	484	198	35	-1	
3	1	9	1	0	0	559	484	198	35	-1	
4	1	9	1	1	0	559	484	198	35	-1	
5	1	9	1	1	1	559	484	26	25	96.949783	its
5	1	9	1	1	2	594	489	67	25	96.867050	entire
5	1	9	1	1	3	670	499	87	20	79.331619	course.
2	1	10	0	0	0	282	506	261	36	-1	
3	1	10	1	0	0	282	506	261	36	-1	
4	1	10	1	1	0	282	506	261	36	-1	
5	1	10	1	1	1	282	506	23	25	89.460243	d.
5	1	10	1	1	2	321	508	48	26	96.544121	The
5	1	10	1	1	3	379	513	87	24	96.548058	median
5	1	10	1	1	4	476	519	67	23	96.898735	nerve
2	1	11	0	0	0	552	517	744	42	-1	
3	1	11	1	0	0	552	517	744	42	-1	
4	1	11	1	1	0	552	517	744	42	-1	
5	1	11	1	1	1	552	526	94	22	94.969757	Crosses
5	1	11	1	1	2	654	526	20	24	95.756081	in
5	1	11	1	1	3	682	529	55	25	96.690964	front
5	1	11	1	1	4	745	531	23	24	96.976006	of
5	1	11	1	1	5	775	532	35	24	96.859940	the
