level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	166	160	1285	28	-1	
3	1	1	1	0	0	166	160	1285	28	-1	
4	1	1	1	1	0	166	160	1285	28	-1	
5	1	1	1	1	1	166	160	1285	28	95.000000	 
2	1	2	0	0	0	209	206	1137	224	-1	
3	1	2	1	0	0	209	206	1137	224	-1	
4	1	2	1	1	0	209	206	185	39	-1	
5	1	2	1	1	1	209	206	44	27	90.372551	51-
5	1	2	1	1	2	264	211	130	34	84.614983	Fertilizati
4	1	2	1	2	0	347	226	206	29	-1	
5	1	2	1	2	1	347	226	83	27	92.081993	Zation
5	1	2	1	2	2	442	236	49	19	61.246464	occ
5	1	2	1	2	3	549	239	4	4	10.975389	:
4	1	2	1	3	0	253	234	1003	67	-1	
5	1	2	1	3	1	253	255	22	20	89.564133	a.
5	1	2	1	3	2	297	254	132	36	92.472412	Intramural
5	1	2	1	3	3	440	234	97	67	34.015011	eg
5	1	2	1	3	4	549	245	22	19	71.777184	in
5	1	2	1	3	5	582	244	42	26	96.246788	the
5	1	2	1	3	6	633	250	125	37	90.104797	following
5	1	2	1	3	7	769	260	47	25	96.990524	site
5	1	2	1	3	8	826	263	27	24	96.999359	of
5	1	2	1	3	9	860	261	42	23	96.317665	the
5	1	2	1	3	10	913	257	124	28	96.767815	Fallopian
5	1	2	1	3	11	1047	256	68	22	96.987755	tube:
5	1	2	1	3	12	1253	278	3	4	21.768780	.
4	1	2	1	4	0	212	273	1134	71	-1	
5	1	2	1	4	1	212	310	32	29	50.389412	52-
5	1	2	1	4	2	265	315	35	29	50.389412	Th
5	1	2	1	4	3	493	289	3	4	13.514032	.
5	1	2	1	4	4	598	282	22	25	75.406693	b.
5	1	2	1	4	5	633	285	105	32	84.219376	Isthmus.
5	1	2	1	4	6	845	303	21	18	59.972897	c.
5	1	2	1	4	7	878	293	85	26	95.726837	Lateral
5	1	2	1	4	8	976	292	43	23	96.776566	1/3.
5	1	2	1	4	9	1135	290	23	23	68.556915	d.
5	1	2	1	4	10	1170	273	176	38	0.000000	infundibulum.
4	1	2	1	5	0	247	326	444	39	-1	
5	1	2	1	5	1	247	328	8	5	57.317070	~
5	1	2	1	5	2	303	326	15	19	13.200645	'Ne
5	1	2	1	5	3	329	329	121	26	92.031517	Common
5	1	2	1	5	4	462	331	48	27	96.852249	site
5	1	2	1	5	5	517	322	20	47	93.171867	of
5	1	2	1	5	6	552	339	10	26	89.638908	j
5	1	2	1	5	7	686	352	5	5	0.000000	‘
4	1	2	1	6	0	264	345	1077	51	-1	
5	1	2	1	6	1	264	361	22	19	96.567047	a.
5	1	2	1	6	2	297	358	106	32	96.958054	Anterior
5	1	2	1	6	3	411	368	49	25	95.838394	wall
5	1	2	1	6	4	472	354	20	48	93.158333	of
5	1	2	1	6	5	500	370	12	26	84.502472	t
5	1	2	1	6	6	565	345	162	33	90.604767	Mplantation
5	1	2	1	6	7	739	355	22	24	95.390503	in
5	1	2	1	6	8	771	357	41	25	95.390503	the
5	1	2	1	6	9	823	360	85	24	96.936974	uterus
5	1	2	1	6	10	919	355	22	23	96.957024	is
5	1	2	1	6	11	951	354	32	23	96.958588	at:
5	1	2	1	6	12	1286	372	55	24	35.218796	sud
4	1	2	1	7	0	264	373	1020	57	-1	
5	1	2	1	7	1	264	398	23	20	4.039755	¢.
5	1	2	1	7	2	298	395	105	31	93.306107	Anterior
5	1	2	1	7	3	411	405	49	23	90.476524	walll
5	1	2	1	7	4	472	407	25	23	94.678955	of
5	1	2	1	7	5	513	373	30	26	85.888359	he
5	1	2	1	7	6	552	378	95	30	91.212784	fundus,
5	1	2	1	7	7	948	390	21	22	92.166588	b.
5	1	2	1	7	8	981	388	115	23	96.889359	Posterior
5	1	2	1	7	9	1104	386	48	23	96.471832	wall
5	1	2	1	7	10	1162	385	25	24	96.860008	of
5	1	2	1	7	11	1195	383	39	24	96.970390	the
5	1	2	1	7	12	1244	377	40	24	96.372421	fun
2	1	3	0	0	0	504	405	849	49	-1	
3	1	3	1	0	0	504	405	849	49	-1	
4	1	3	1	1	0	504	405	849	49	-1	
5	1	3	1	1	1	504	410	39	25	95.340462	the
5	1	3	1	1	2	554	418	82	24	95.252235	cervix.
5	1	3	1	1	3	815	431	22	23	56.206932	d,
5	1	3	1	1	4	850	425	114	27	96.628014	Posterior
5	1	3	1	1	5	972	423	49	23	96.129654	wall
5	1	3	1	1	6	1031	422	24	23	96.975342	of
5	1	3	1	1	7	1063	421	38	23	94.817276	the
5	1	3	1	1	8	1112	421	69	22	96.704971	lower
5	1	3	1	1	9	1190	416	49	33	96.754517	part
5	1	3	1	1	10	1249	411	24	25	96.959213	of
5	1	3	1	1	11	1282	405	71	29	96.076096	body.
2	1	4	0	0	0	214	451	1179	95	-1	
3	1	4	1	0	0	214	451	1179	95	-1	
4	1	4	1	1	0	214	451	1179	75	-1	
5	1	4	1	1	1	214	451	43	26	92.754021	53-
5	1	4	1	1	2	268	456	57	27	96.310692	One
5	1	4	1	1	3	335	463	29	23	96.892815	of
5	1	4	1	1	4	371	464	43	25	96.239418	the
5	1	4	1	1	5	424	466	91	24	85.504364	followi
5	1	4	1	1	6	821	481	19	45	42.649696	id
5	1	4	1	1	7	1388	467	5	5	12.814827	)
4	1	4	1	2	0	487	468	906	42	-1	
5	1	4	1	2	1	487	474	64	28	87.633217	wing
5	1	4	1	2	2	563	477	151	29	95.894539	statements
5	1	4	1	2	3	726	485	21	23	95.725578	is
5	1	4	1	2	4	896	486	32	24	96.999268	ring
5	1	4	1	2	5	957	484	41	23	96.839706	the
5	1	4	1	2	6	1009	481	99	25	96.145660	second
5	1	4	1	2	7	1118	481	70	23	96.145660	week
5	1	4	1	2	8	1198	478	28	25	96.858330	of
5	1	4	1	2	9	1235	468	158	38	94.346237	pregnancy:
4	1	4	1	3	0	268	488	678	58	-1	
5	1	4	1	3	1	268	499	22	19	92.800232	a.
5	1	4	1	3	2	311	496	134	35	92.800232	Blastocyst
5	1	4	1	3	3	455	508	133	28	91.263687	completes
5	1	4	1	3	4	598	512	27	24	96.790878	its
5	1	4	1	3	5	636	493	187	53	0.000000	implantatiese
5	1	4	1	3	6	859	488	87	26	21.339298	es
2	1	5	0	0	0	269	530	1047	90	-1	
3	1	5	1	0	0	269	530	1047	90	-1	
4	1	5	1	1	0	269	530	538	64	-1	
5	1	5	1	1	1	269	530	24	62	42.075142	a
5	1	5	1	1	2	310	533	157	61	0.000000	joes
5	1	5	1	1	3	477	541	167	31	95.858505	differentiates
5	1	5	1	1	4	653	551	44	24	95.792442	into
5	1	5	1	1	5	709	554	13	23	96.966095	2
5	1	5	1	1	6	733	555	74	30	93.250191	layers
4	1	5	1	2	0	286	575	1030	45	-1	
5	1	5	1	2	1	286	587	5	5	57.421074	+
5	1	5	1	2	2	320	577	59	20	88.238808	Inner
5	1	5	1	2	3	388	575	42	23	88.238808	cell
5	1	5	1	2	4	441	580	68	22	96.333305	mass
5	1	5	1	2	5	520	579	117	28	96.412994	becomes
5	1	5	1	2	6	647	591	13	18	96.579834	a
5	1	5	1	2	7	671	588	119	27	86.786293	trilaminar
5	1	5	1	2	8	799	595	55	25	64.406036	dig¢.
5	1	5	1	2	9	953	591	23	23	88.256882	d.
5	1	5	1	2	10	987	590	110	23	96.874985	Amniotic
5	1	5	1	2	11	1107	589	73	28	94.798119	cavity
5	1	5	1	2	12	1189	588	19	23	96.851433	is
5	1	5	1	2	13	1217	578	99	31	95.456505	formed.
2	1	6	0	0	0	213	622	1096	163	-1	
3	1	6	1	0	0	213	622	1096	163	-1	
4	1	6	1	1	0	213	622	1061	70	-1	
5	1	6	1	1	1	213	622	36	52	96.039566	54
5	1	6	1	1	2	260	629	26	61	18.199282	pe
5	1	6	1	1	3	297	637	136	55	0.000000	rceming
5	1	6	1	1	4	444	636	43	24	96.791817	the
5	1	6	1	1	5	496	639	94	34	96.781815	folding
5	1	6	1	1	6	602	645	30	39	97.020462	of
5	1	6	1	1	7	639	647	42	24	95.493996	the
5	1	6	1	1	8	691	651	143	30	0.000000	embryonic
5	1	6	1	1	9	845	653	63	28	52.150787	dis¢)
5	1	6	1	1	10	918	651	82	23	52.150787	select
5	1	6	1	1	11	1008	650	41	23	96.673653	the
5	1	6	1	1	12	1060	650	97	23	96.757820	correct
5	1	6	1	1	13	1166	648	108	23	93.504578	answer:
4	1	6	1	2	0	277	672	637	45	-1	
5	1	6	1	2	1	277	685	5	5	0.000000	-
5	1	6	1	2	2	328	675	19	34	29.168348	Itls
5	1	6	1	2	3	358	672	92	23	96.203178	caused
5	1	6	1	2	4	462	672	29	30	96.203178	by
5	1	6	1	2	5	501	680	131	26	96.981133	expansion
5	1	6	1	2	6	642	684	25	23	96.649681	of
5	1	6	1	2	7	674	685	39	24	96.649681	the
5	1	6	1	2	8	722	688	51	28	96.527008	yolk
5	1	6	1	2	9	783	695	43	19	91.647919	sac
5	1	6	1	2	10	834	688	80	29	96.348282	cavity.
4	1	6	1	3	0	279	705	540	45	-1	
5	1	6	1	3	1	279	722	5	5	42.235176	-
5	1	6	1	3	2	303	705	45	25	82.372231	Itis
5	1	6	1	3	3	358	707	25	40	92.376030	of
5	1	6	1	3	4	390	709	45	23	92.376030	two
5	1	6	1	3	5	444	709	70	29	96.804131	types
5	1	6	1	3	6	524	715	53	29	96.910881	only
5	1	6	1	3	7	587	716	62	26	96.331718	head
5	1	6	1	3	8	659	722	46	23	93.190269	and
5	1	6	1	3	9	715	724	35	23	95.632431	tail
5	1	6	1	3	10	759	724	60	26	93.337090	folds
4	1	6	1	4	0	261	741	1048	44	-1	
5	1	6	1	4	1	261	744	22	19	13.087816	C.
5	1	6	1	4	2	304	741	14	23	93.979546	It
5	1	6	1	4	3	329	742	85	30	96.093712	begins
5	1	6	1	4	4	424	744	63	30	96.093712	early
5	1	6	1	4	5	497	748	23	22	96.961342	at
5	1	6	1	4	6	528	748	41	24	96.912094	the
5	1	6	1	4	7	579	755	91	22	96.897652	second
5	1	6	1	4	8	680	759	73	23	96.729729	week.
5	1	6	1	4	9	955	758	23	23	90.227242	d.
5	1	6	1	4	10	990	758	13	23	90.976089	It
5	1	6	1	4	11	1014	758	18	23	90.976089	is
5	1	6	1	4	12	1042	756	81	24	95.979073	limited
5	1	6	1	4	13	1134	756	29	29	96.420944	by
5	1	6	1	4	14	1173	749	136	29	93.812729	notochord.
2	1	7	0	0	0	219	796	1123	153	-1	
3	1	7	1	0	0	219	796	1123	153	-1	
4	1	7	1	1	0	219	796	761	52	-1	
5	1	7	1	1	1	219	799	43	24	89.932808	55-
5	1	7	1	1	2	272	796	163	52	96.449188	Concerning
5	1	7	1	1	3	446	806	44	23	96.621933	the
5	1	7	1	1	4	500	807	150	34	91.898987	blastocyst,
5	1	7	1	1	5	660	816	132	27	88.699951	selectithe
5	1	7	1	1	6	800	820	65	25	96.667953	false
5	1	7	1	1	7	874	824	106	19	96.272545	answer:
4	1	7	1	2	0	262	837	1080	43	-1	
5	1	7	1	2	1	262	842	22	18	92.333031	a.
5	1	7	1	2	2	297	837	29	24	95.340263	Its
5	1	7	1	2	3	336	841	75	38	96.334663	cavity
5	1	7	1	2	4	422	846	18	18	92.459923	is
5	1	7	1	2	5	450	842	75	25	92.459923	called
5	1	7	1	2	6	535	845	40	24	93.294685	the
5	1	7	1	2	7	585	847	136	28	50.340042	blastocele,
5	1	7	1	2	8	800	844	105	35	0.000000	“b,
5	1	7	1	2	9	874	840	32	47	84.662399	Its
5	1	7	1	2	10	912	853	78	25	60.624599	wall,is
5	1	7	1	2	11	999	852	89	23	95.331528	formed
5	1	7	1	2	12	1099	852	28	28	96.881767	by
5	1	7	1	2	13	1137	852	65	22	95.292175	outer
5	1	7	1	2	14	1211	848	42	24	95.292175	cell
5	1	7	1	2	15	1265	848	77	22	96.680176	mass.
4	1	7	1	3	0	263	874	720	47	-1	
5	1	7	1	3	1	263	879	22	18	66.856834	c.
5	1	7	1	3	2	298	874	28	24	94.665413	Its
5	1	7	1	3	3	337	882	66	19	92.142151	inner
5	1	7	1	3	4	411	877	42	39	90.270363	cell
5	1	7	1	3	5	464	884	69	20	93.469353	mass
5	1	7	1	3	6	543	882	19	23	93.469353	is
5	1	7	1	3	7	573	883	90	26	96.954140	located
5	1	7	1	3	8	675	888	22	22	95.597549	at
5	1	7	1	3	9	706	888	28	23	95.597549	its
5	1	7	1	3	10	743	889	173	32	90.382660	ab-embryonic
5	1	7	1	3	11	924	889	59	31	96.994469	pole.
4	1	7	1	4	0	263	909	876	40	-1	
5	1	7	1	4	1	263	909	24	24	91.622719	d.
5	1	7	1	4	2	300	910	115	32	96.016075	Normally
5	1	7	1	4	3	425	913	108	29	96.016075	implants
5	1	7	1	4	4	544	917	20	23	96.088242	in
5	1	7	1	4	5	574	918	38	23	96.702866	the
5	1	7	1	4	6	623	918	109	41	89.650543	Posterior
5	1	7	1	4	7	742	918	48	41	96.091499	wall
5	1	7	1	4	8	800	925	24	24	96.661423	of
5	1	7	1	4	9	831	926	38	23	96.920547	the
5	1	7	1	4	10	878	925	86	24	96.802704	fundus
5	1	7	1	4	11	973	924	24	23	96.713608	of
5	1	7	1	4	12	1005	923	38	23	96.870407	the
5	1	7	1	4	13	1054	923	85	22	96.937943	uterus.
2	1	8	0	0	0	222	969	1059	148	-1	
3	1	8	1	0	0	222	969	1059	148	-1	
4	1	8	1	1	0	222	969	995	42	-1	
5	1	8	1	1	1	222	969	43	24	92.851974	56-
5	1	8	1	1	2	276	971	144	31	96.642853	Regarding
5	1	8	1	1	3	431	973	43	24	96.989197	the
5	1	8	1	1	4	485	977	123	24	96.207802	umbilical
5	1	8	1	1	5	619	980	60	23	96.893539	cord
5	1	8	1	1	6	690	982	25	22	96.882240	at
5	1	8	1	1	7	726	981	67	30	96.023468	birth,
5	1	8	1	1	8	803	986	81	22	95.897415	select
5	1	8	1	1	9	890	984	43	24	96.691330	the
5	1	8	1	1	10	943	984	122	23	96.460861	incorrect
5	1	8	1	1	11	1074	982	143	23	96.539932	statement:
4	1	8	1	2	0	265	1008	1016	35	-1	
5	1	8	1	2	1	265	1012	22	19	96.319748	a.
5	1	8	1	2	2	306	1008	78	24	93.802551	About
5	1	8	1	2	3	393	1009	74	24	93.802551	50-60
5	1	8	1	2	4	478	1016	36	19	96.301132	cm
5	1	8	1	2	5	525	1012	20	23	96.054977	in
5	1	8	1	2	6	557	1013	84	30	96.054977	length.
5	1	8	1	2	7	843	1018	144	25	48.201210	b-Contains
5	1	8	1	2	8	997	1019	13	22	97.006371	2
5	1	8	1	2	9	1020	1018	67	23	96.885681	veins
5	1	8	1	2	10	1096	1017	45	23	97.003586	and
5	1	8	1	2	11	1153	1017	13	22	95.973747	2
